Age; Workclass; Education; Years of Education; Marital Status; Occupation; Relationship; Race; Sex; Hours Work per Week; Income
21;4;1;6;3;7;1;2;0;50;0
24;4;12;9;5;7;2;2;0;40;0
39;6;8;12;3;1;6;2;1;40;1
68;4;16;10;1;1;5;2;1;40;0
66;6;16;10;5;12;2;2;1;20;0
38;4;10;13;5;5;2;2;0;40;0
41;4;13;14;3;4;1;2;0;50;1
71;?;6;4;7;;3;2;1;16;0
37;4;12;9;3;3;1;2;0;40;0
54;6;13;14;3;12;1;2;0;45;1
27;7;10;13;5;10;2;2;0;40;0
49;4;10;13;5;10;2;2;1;40;0
19;7;16;10;5;10;4;2;0;10;0
25;4;16;10;5;14;2;2;0;50;0
47;1;16;10;3;1;1;1;0;40;1
40;4;16;10;3;12;3;2;0;40;0
38;4;10;13;1;4;2;2;0;40;0
25;4;12;9;5;8;2;2;0;40;0
25;4;16;10;5;3;4;2;1;50;0
23;4;1;6;5;6;3; Other;0;40;0
28;4;13;14;1;12;4;2;1;40;0
29;4;12;9;4;3;2;2;0;40;0
32;4;2;7;3;3;1;2;0;40;0
34;4;12;9;5;8;5;1;1;40;0
52;4;10;13;3;10;1;1;0;40;1
33;6;12;9;3;5;1;2;0;94;0
19;4;16;10;5;12;4;2;0;35;0
68;4;11;16;3;10;1;2;0;55;1
41;4;1;6;5;6;5;2;0;50;0
18;5;12;9;5;8;5;4;1;30;0
29;4;16;10;3;3;1;2;0;40;1
40;4;13;14;3;4;1;2;0;50;1
51;6;13;14;1;10;5;2;0;60;1
49;4;16;10;1;1;2;2;0;40;0
20;7;16;10;5;8;4;2;1;20;0
38;2;12;9;3;3;1;2;0;50;1
57;4;5;3;5;8;2;2;0;40;0
35;4;16;10;3;12;1;2;0;40;0
66;4;2;7;3;12;1;2;0;26;0
27;?;10;13;3;;1;2;0;15;0
25;4;9;11;5;1;2;2;1;40;0
77;?;13;14;3;;1;2;0;6;1
19;?;1;6;5;;5;2;1;35;0
70;4;12;9;3;6;1;2;0;40;1
59;6;6;4;3;5;1;2;0;48;0
25;4;10;13;3;10;1;2;0;40;0
44;2;15;15;5;10;2;2;0;40;1
37;4;13;14;3;4;1;2;0;55;1
75;?;1;6;7;;3;4;1;1;0
21;?;12;9;5;;2;2;1;40;0
21;4;12;9;5;12;4;2;1;40;0
47;1;12;9;3;3;1;2;0;40;1
20;4;12;9;5;1;2;1;1;30;0
32;7;12;9;3;11;1;2;0;40;0
28;4;12;9;5;1;5;2;1;20;0
53;4;12;9;1;14;2;2;0;40;0
19;?;12;9;5;;2; Other;0;30;0
58;4;16;10;3;12;6;2;1;36;0
22;4;12;9;5;12;2;2;1;30;0
23;4;2;7;3;4;1;2;0;55;0
21;4;12;9;5;6;2;2;0;60;0
36;4;12;9;3;3;1;2;0;70;0
39;4;16;10;3;8;6;2;1;15;0
34;2;10;13;5;10;2;2;1;40;0
41;2;13;14;5;10;2;2;1;40;0
72;4;10;13;3;12;1;2;0;6;0
34;4;12;9;3;8;6;2;1;40;1
51;2;10;13;3;10;1;2;0;40;1
32;6;9;11;5;3;2;2;0;40;0
38;4;16;10;7;4;2;2;1;40;1
37;4;16;10;3;3;1;2;0;40;0
21;?;16;10;5;;4;1;0;20;0
21;4;16;10;5;10;4;2;1;10;0
26;4;16;10;5;1;2;2;0;40;0
34;4;16;10;3;6;1;2;0;40;1
18;4;16;10;5;12;4;2;1;15;0
27;4;2;7;5;4;5;2;1;45;0
20;4;16;10;5;1;4;2;1;38;0
36;4;9;11;3;1;1;2;0;40;1
31;?;10;13;5;;2;2;0;40;0
32;4;10;13;3;4;1;2;0;60;1
54;4;12;9;3;3;1;2;0;44;1
34;2;13;14;7;10;2;2;1;40;0
46;4;16;10;3;12;1;2;0;48;1
33;4;2;7;6;7;3;2;0;30;0
32;4;10;13;3;10;1;2;0;50;1
42;4;9;11;5;13;2;2;0;40;0
30;4;12;9;3;3;1;2;0;50;0
37;4;16;10;3;8;1;2;0;40;1
28;4;12;9;3;7;1;2;0;40;0
25;4;10;13;5;4;2;2;0;35;0
44;6;16;10;3;8;1;2;0;40;1
40;4;12;9;3;7;1;2;0;40;0
36;4;16;10;3;4;1;2;0;45;0
21;4;16;10;5;1;5;2;0;40;0
39;7;11;16;3;10;1;2;0;50;1
24;4;10;13;5;10;2;2;0;39;0
46;4;12;9;5;14;2;3;0;40;0
47;?;10;13;3;;1;2;0;36;1
47;4;10;13;3;12;1;2;0;40;1
35;4;15;15;3;10;1;2;0;75;1
60;6;6;4;3;14;1;2;0;40;1
35;4;10;13;3;8;6;2;1;24;0
33;4;12;9;6;8;5;2;1;40;0
21;4;8;12;5;10;2;2;1;40;0
37;4;10;13;3;13;1;2;0;50;1
48;1;12;9;3;1;1;1;0;50;1
58;4;6;4;7;5;3;2;1;45;0
21;4;12;9;5;6;2;2;1;40;0
22;4;12;9;5;6;4;2;0;40;0
22;4;12;9;5;8;5;2;1;40;0
28;6;13;14;3;4;6;2;1;30;1
33;?;9;11;3;;4;2;1;50;1
23;1;12;9;5;10;2;2;0;40;0
58;7;12;9;3;1;1;1;0;40;1
24;?;10;13;5;;4;2;0;40;0
38;2;10;13;3;3;1;4;0;40;0
49;4;12;9;3;12;1;2;0;15;0
47;4;10;13;3;4;1;2;0;45;1
50;4;10;13;3;4;1;2;0;40;1
21;4;12;9;5;10;5;2;1;55;0
55;4;12;9;6;1;2;2;1;40;0
47;4;2;7;1;6;2;2;0;40;0
19;4;12;9;5;10;2;2;1;40;0
47;4;12;9;5;13;3;2;0;50;0
36;4;2;7;3;3;1;2;0;40;0
28;2;8;12;3;11;1;2;0;40;0
42;4;12;9;7;12;5;3;1;40;0
41;4;13;14;5;10;2;2;1;35;1
46;4;10;13;3;12;1;2;0;40;1
32;4;12;9;3;12;1;2;0;50;0
34;4;1;6;5;8;5;1;1;40;0
33;4;6;4;3;3;1;2;0;40;0
60;7;10;13;3;4;1;2;0;40;1
53;4;12;9;3;14;1;2;0;40;0
24;4;10;13;5;13;2;2;1;50;0
39;1;16;10;3;6;1;2;0;60;1
23;4;16;10;5;3;2;2;0;40;0
50;4;10;13;3;1;1;2;0;50;1
36;2;12;9;1;1;5;2;1;40;0
19;4;3;8;6;10;4;2;1;40;0
26;4;12;9;5;1;4;2;1;40;0
38;4;12;9;3;12;1;1;0;40;1
41;4;10;13;3;3;1;2;0;55;1
22;4;16;10;5;12;3;2;1;18;0
38;4;8;12;5;7;2;1;1;50;1
72;?;16;10;3;;1;2;0;30;1
39;4;12;9;3;3;1;2;0;40;0
35;7;12;9;3;3;1;2;0;40;1
38;2;16;10;1;4;5;1;1;45;0
19;4;12;9;3;8;6;1;1;16;0
26;4;12;9;5;14;4;2;0;45;0
52;4;10;13;1;3;5;2;0;25;0
41;4;5;3;3;8;1; Other;0;40;0
45;4;12;9;1;1;2;2;1;40;0
58;1;16;10;3;1;1;2;0;40;1
34;4;10;13;5;12;2;2;0;45;0
36;4;12;9;3;7;1;2;0;40;0
19;8;12;9;5;5;4;2;0;20;0
26;7;2;7;1;8;5;2;1;40;0
60;4;1;6;3;14;1;2;0;40;0
35;6;12;9;3;4;1;2;0;50;0
39;4;1;6;1;8;2;2;1;60;0
27;4;12;9;6;6;5;2;1;40;0
26;1;13;14;5;10;2;2;0;40;0
17;4;3;8;5;8;4;2;0;12;0
59;6;12;9;3;12;1;2;0;40;1
53;2;12;9;3;4;1;3;0;48;0
35;4;2;7;1;14;2;2;0;40;0
34;2;16;10;3;4;1;2;0;40;1
36;4;12;9;3;13;1;2;0;45;1
36;4;12;9;3;12;1;2;0;40;0
21;4;12;9;5;8;4;2;0;40;0
29;4;16;10;5;12;4;2;1;40;0
35;4;10;13;3;10;1;2;0;50;1
59;6;10;13;3;4;1;2;0;40;1
22;4;16;10;5;8;2;2;0;10;0
50;2;13;14;3;10;1;2;0;50;0
24;1;10;13;5;10;2; Other;1;40;0
36;4;10;13;1;13;2;2;1;40;0
31;4;12;9;3;7;6;2;1;40;1
42;6;16;10;3;3;1;2;0;40;0
38;4;6;4;1;12;5;2;1;40;0
52;4;12;9;3;4;1;2;0;40;0
46;4;1;6;1;3;2;2;0;40;0
23;4;16;10;3;3;1;2;0;60;0
54;4;5;3;3;12;1;2;0;51;0
27;4;12;9;5;1;2;1;1;40;0
42;4;10;13;6;8;2;2;1;50;0
33;7;12;9;3;3;1;2;0;40;0
19;4;8;12;5;4;2;2;1;50;0
59;4;2;7;3;8;6;2;1;28;0
54;4;12;9;7;8;5;2;1;32;0
48;4;6;4;3;14;1;2;0;55;0
19;?;16;10;5;;4;2;0;60;0
45;4;12;9;1;1;2;2;1;40;0
36;4;10;13;5;4;2;2;0;70;0
35;6;8;12;3;3;1;2;0;40;0
47;4;16;10;1;1;2;2;1;36;0
33;4;10;13;5;4;2;2;0;40;0
48;6;10;13;3;10;1;2;0;40;0
42;4;12;9;6;3;5;1;1;40;0
19;4;16;10;5;8;4;2;0;24;0
64;5;10;13;3;10;1;2;0;40;0
51;6;10;13;3;5;1;2;0;8;0
20;1;12;9;5;1;3;2;0;20;0
28;4;12;9;5;8;2;2;0;40;0
52;4;13;14;3;4;1;2;0;50;1
29;6;16;10;5;3;2;2;0;45;0
51;4;10;13;6;12;2;2;0;40;0
36;4;12;9;3;10;1;2;0;60;0
43;4;10;13;3;12;1;2;0;45;1
52;4;16;10;3;4;1;2;0;40;0
50;4;12;9;1;3;2;2;0;40;1
25;4;16;10;1;8;2;2;0;30;0
36;4;8;12;5;1;5;1;1;40;0
44;4;16;10;3;4;6;2;1;60;0
47;4;1;6;4;14;2;1;0;45;0
32;4;12;9;1;3;4;2;0;40;0
37;4;13;14;5;10;5;4;0;40;0
40;4;12;9;3;1;1;2;0;40;0
34;6;12;9;3;12;1;2;0;60;0
35;5;16;10;3;12;1;2;0;50;1
26;4;16;10;5;10;4;2;0;3;0
49;6;10;13;3;5;1;2;0;50;0
63;?;10;13;3;;1;2;0;30;1
46;6;10;13;4;10;2;2;0;25;0
31;2;16;10;5;1;4;1;0;40;0
22;4;9;11;5;3;2;2;0;30;0
20;4;16;10;5;8;2;2;1;12;0
52;4;11;16;5;4;2;2;0;40;1
26;4;16;10;5;1;2;1;1;40;0
34;4;10;13;3;4;1;2;0;50;1
31;4;7;5;5;7;2;2;0;40;0
46;4;12;9;1;12;5;2;1;30;0
22;4;6;4;3;7;1;2;0;40;0
38;4;9;11;5;3;4;2;0;40;0
35;4;12;9;3;12;1;2;0;40;0
27;7;16;10;5;11;2;2;0;40;0
27;4;8;12;3;4;1;2;0;40;0
46;4;16;10;1;12;5;2;1;40;0
40;?;12;9;5;;2;2;1;4;0
19;4;16;10;5;1;4;2;0;10;0
69;?;12;9;3;;1;2;0;60;1
20;4;16;10;5;8;4;2;0;35;0
34;1;10;13;3;11;1;2;0;60;0
49;4;13;14;3;4;1;2;0;45;1
27;4;16;10;3;5;1; Other;0;50;0
59;4;16;10;3;1;6;2;1;14;1
45;4;10;13;3;4;1;2;0;60;1
21;4;16;10;5;12;4;2;1;15;0
51;7;9;11;1;10;5;2;1;40;0
64;?;2;7;5;;5;2;0;40;0
41;7;11;16;3;10;1;2;0;40;1
18;?;3;8;5;;4;4;1;24;0
49;4;13;14;4;10;2;2;0;40;0
51;4;12;9;1;7;4;1;0;40;0
20;4;16;10;5;6;4;2;1;20;0
69;6;12;9;3;12;1;2;0;48;0
18;?;12;9;5;;4;2;1;35;0
43;4;12;9;3;6;1;2;0;50;0
50;4;12;9;1;7;5;1;1;44;0
32;4;12;9;3;7;1;2;0;40;0
27;2;12;9;5;5;4;2;0;40;0
38;4;12;9;3;8;1;2;0;40;0
62;4;12;9;3;7;1;2;0;40;1
46;4;12;9;1;4;2;2;0;44;0
19;4;16;10;5;13;4;2;1;40;0
17;?;1;6;5;;4;2;0;40;0
21;4;12;9;5;7;5;2;1;40;0
36;4;10;13;5;1;2;2;1;50;0
36;4;3;8;1;6;2;2;0;40;0
23;4;12;9;5;7;4;4;0;40;0
58;4;10;13;3;10;1;2;0;40;1
40;4;10;13;3;10;1;2;0;45;0
64;4;16;10;3;4;6;2;1;35;0
66;4;2;7;3;3;1;2;0;20;0
42;4;12;9;3;12;1;2;0;40;0
55;4;16;10;7;1;5;2;1;40;0
53;4;16;10;3;4;1;2;0;40;1
25;4;12;9;3;6;1;2;0;40;0
39;4;16;10;5;13;5;1;1;40;0
20;4;12;9;5;8;4;2;0;40;0
32;4;12;9;3;8;1;2;0;54;0
28;4;10;13;5;12;5;2;0;65;0
23;1;8;12;5;4;4;2;1;40;0
18;4;12;9;5;8;4;2;0;25;0
43;6;12;9;3;4;1;2;0;35;1
29;4;12;9;3;3;1;2;0;40;0
32;4;16;10;3;11;1;2;0;46;0
31;2;12;9;1;3;5;2;0;40;0
60;4;5;3;3;3;1;2;0;40;0
42;4;16;10;3;14;1;2;0;50;0
46;4;13;14;3;4;1;2;0;50;1
38;4;12;9;3;3;1;2;0;40;1
18;4;2;7;5;8;4;2;1;19;0
31;4;12;9;5;12;4;2;1;40;0
54;4;12;9;3;12;1;2;0;55;0
46;4;16;10;3;12;1;2;0;50;0
27;6;12;9;5;5;4;2;0;80;0
50;2;10;13;3;10;1;2;0;45;1
38;6;6;4;3;5;1;2;0;56;0
36;7;13;14;5;10;4;2;1;40;0
25;4;12;9;1;8;2;2;0;40;0
19;4;12;9;5;5;4;2;0;25;0
60;2;16;10;3;8;1;4;0;60;0
45;2;7;5;5;8;4;2;0;40;0
21;4;16;10;5;13;4;2;0;16;0
42;4;12;9;1;14;2;2;0;46;0
38;4;12;9;3;3;1;2;0;50;0
22;?;16;10;5;;4;2;0;40;0
19;4;12;9;5;4;2;1;0;32;0
23;4;16;10;5;1;4;2;0;40;0
24;4;16;10;5;6;4;2;1;30;0
30;4;8;12;1;12;2;2;0;52;0
62;4;16;10;3;4;1;2;0;40;0
26;6;15;15;5;10;4;2;0;20;0
42;1;10;13;3;4;1;2;0;52;1
33;4;12;9;3;3;1;2;0;40;0
54;5;11;16;3;10;1;2;0;50;1
35;4;10;13;1;10;5;2;1;32;0
33;4;12;9;1;12;2;2;0;40;0
45;4;12;9;1;12;2;2;1;55;0
62;4;10;13;3;1;6;2;1;30;1
24;4;12;9;5;4;4;2;0;40;0
50;2;16;10;1;1;2;1;1;40;0
54;4;10;13;3;10;1;2;0;40;1
58;4;6;4;1;7;4;2;0;40;0
39;5;12;9;3;3;1;2;0;50;0
32;4;12;9;1;3;5;2;0;40;0
27;4;10;13;3;10;1;2;0;40;0
27;4;12;9;3;14;1;2;0;35;0
20;4;16;10;5;8;4;2;0;60;0
64;4;6;4;3;3;1;2;0;40;0
55;5;13;14;7;12;2;2;1;40;0
46;4;12;9;1;13;2;2;1;43;0
45;4;16;10;3;14;1;2;0;55;0
26;4;12;9;5;14;2;2;0;40;0
36;4;12;9;3;3;1;2;0;40;0
25;4;10;13;5;12;2;2;1;40;0
58;4;1;6;3;14;1;2;0;40;1
39;5;10;13;3;4;1;2;0;45;0
47;4;12;9;7;9;2;4;1;45;0
35;4;13;14;3;7;1;2;0;48;0
38;4;12;9;3;4;1;2;0;40;0
50;4;2;7;3;3;1;2;0;40;0
36;4;12;9;1;1;5;2;1;38;0
28;4;5;3;5;3;3;2;0;40;0
44;6;12;9;3;7;6;2;1;45;0
40;4;12;9;1;11;5;2;1;40;0
55;4;16;10;3;3;1;2;0;40;1
29;6;12;9;5;5;2;2;0;45;0
33;4;12;9;3;3;1;2;0;45;0
19;?;16;10;5;;4;2;1;30;0
32;4;10;13;3;4;1;2;0;40;1
45;2;13;14;3;10;1;1;0;10;1
23;4;12;9;5;6;4;2;0;25;0
31;4;9;11;5;11;4;1;0;40;0
22;4;16;10;5;8;2;4;1;40;0
59;4;12;9;1;6;2;1;0;40;0
32;4;16;10;5;3;2;2;0;38;0
49;7;16;10;5;1;2;2;1;40;0
22;4;16;10;5;1;4;2;0;30;0
26;4;16;10;5;1;2;2;0;30;0
23;7;16;10;3;1;1;4;0;40;0
55;6;16;10;3;12;6;2;1;50;0
47;4;12;9;3;4;1;2;0;49;1
44;4;12;9;3;14;1;2;0;40;0
27;4;16;10;5;8;2;2;0;24;0
40;7;13;14;3;10;6;2;1;37;1
32;6;10;13;3;10;6;2;1;8;1
20;4;16;10;5;7;3;4;0;40;0
84;2;12;9;7;4;2;2;1;33;0
40;4;16;10;1;3;3;2;0;50;0
37;4;10;13;5;12;2;2;1;40;0
44;4;16;10;1;14;4;2;0;40;0
47;4;16;10;1;4;5;2;1;40;0
62;6;16;10;3;12;1;2;0;25;0
19;?;16;10;5;;4;2;1;40;0
47;4;12;9;5;14;2;2;0;45;0
44;2;12;9;1;3;5;1;0;40;0
26;2;10;13;3;1;1;2;0;41;0
36;4;16;10;3;3;1;2;0;40;0
52;4;2;7;3;8;1;2;0;40;0
33;4;16;10;1;1;5;2;1;40;0
48;?;12;9;3;;1;2;0;40;0
33;4;12;9;3;14;1;1;0;40;0
25;4;10;13;3;4;1;2;0;20;0
62;4;10;13;3;7;1;2;0;40;0
38;4;16;10;3;3;1;2;0;40;0
46;4;12;9;4;5;2;2;0;65;0
18;?;16;10;5;;4;2;1;40;0
46;4;10;13;3;4;1;2;0;44;1
38;4;12;9;1;8;5;2;1;70;0
52;4;16;10;3;1;1;2;0;40;1
63;6;6;4;3;4;1;2;0;15;0
49;4;16;10;3;7;1;2;0;43;0
17;2;2;7;5;1;4;2;1;12;0
33;4;12;9;5;8;2;2;1;35;0
70;6;12;9;7;8;3;2;1;20;0
19;4;16;10;5;8;4;2;1;15;0
27;?;12;9;3;;6;2;1;40;1
61;4;16;10;3;12;1;2;0;40;0
33;4;10;13;3;10;1;2;0;25;1
46;5;10;13;3;12;1;2;0;42;1
29;4;1;6;6;5;5;2;1;40;0
40;2;16;10;1;14;5;2;0;40;0
43;7;12;9;3;14;1;2;0;38;1
24;4;12;9;5;12;2;2;0;40;0
29;4;16;10;3;3;1;2;0;60;0
61;6;12;9;3;8;6;1;1;17;0
48;4;2;7;1;8;2;2;1;34;0
19;4;16;10;5;6;4;2;0;20;0
30;4;16;10;5;7;2;2;1;40;0
24;4;16;10;5;8;2;2;0;30;0
39;2;13;14;5;10;5;2;1;43;0
46;5;16;10;1;4;5;2;1;60;0
40;4;12;9;3;12;1;2;0;72;1
27;2;10;13;5;10;4;2;1;40;0
25;4;13;14;5;10;4;2;1;40;0
31;4;2;7;5;3;2;2;0;40;0
58;4;10;13;1;14;2;2;0;45;0
33;4;12;9;3;4;6;2;1;42;1
40;4;12;9;7;8;5;2;1;25;0
40;5;13;14;3;12;1;2;0;70;1
31;4;12;9;3;3;1;2;0;40;0
33;4;12;9;6;8;5;4;1;48;0
49;4;8;12;3;12;1;2;0;45;0
24;4;9;11;5;13;4;2;0;40;0
46;4;12;9;5;3;5;2;0;40;0
58;2;13;14;3;10;1;2;0;40;1
20;4;16;10;5;12;4;2;1;20;0
65;?;12;9;7;;5;2;0;40;0
43;4;16;10;3;1;6;2;1;40;0
48;6;13;14;3;12;1;4;0;50;0
41;4;16;10;3;14;1;2;0;54;0
27;7;16;10;6;8;2;2;1;30;0
52;?;16;10;3;;1;2;0;12;0
26;4;12;9;5;8;3;4;0;60;0
52;2;12;9;3;3;1;2;0;40;0
52;2;16;10;1;4;2;2;1;38;0
19;4;12;9;5;8;4;1;0;30;0
39;2;16;10;1;10;4;2;1;45;0
47;4;16;10;1;8;5;2;1;40;0
27;4;12;9;1;3;3; Other;0;40;0
48;4;16;10;1;3;2;2;0;40;0
50;4;12;9;6;8;5;2;1;35;0
60;4;16;10;3;14;1;2;0;60;0
28;4;8;12;3;13;1;2;0;45;1
47;1;12;9;1;8;5;1;1;40;0
69;?;10;13;3;;1;2;0;20;0
40;6;12;9;3;3;1;4;0;66;0
37;4;12;9;5;6;5;2;1;40;0
41;7;13;14;5;10;2;2;0;40;0
38;4;12;9;3;1;1;4;0;48;0
46;1;9;11;6;13;2; Other;1;30;0
21;6;16;10;5;1;4;2;0;30;0
44;4;13;14;6;12;5;2;1;48;0
38;?;1;6;6;;4;2;0;35;0
47;6;16;10;3;1;6;2;1;35;1
42;4;11;16;4;8;2;2;0;60;1
42;2;16;10;1;3;2;2;0;40;0
56;4;10;13;5;4;2;2;1;45;1
32;4;10;13;5;10;4;2;0;40;0
24;4;10;13;3;8;1;2;0;33;0
26;4;16;10;3;12;1;2;0;40;0
36;6;10;13;5;12;2;1;1;50;0
49;4;2;7;5;8;2;2;0;60;0
65;4;12;9;3;4;1;2;0;40;1
73;7;6;4;1;8;2;4;1;40;0
34;4;2;7;3;6;1;2;0;40;0
22;4;10;13;5;1;4;2;1;40;0
49;2;16;10;5;8;5;2;1;30;0
25;4;2;7;5;8;5;1;1;32;0
39;4;7;5;3;14;1;2;0;25;0
19;4;2;7;5;3;2;2;0;56;0
24;4;1;6;3;7;6;2;1;40;0
34;4;12;9;1;1;5;2;1;35;0
35;?;12;9;7;;4;2;1;38;0
21;4;12;9;5;7;3;2;0;40;0
43;4;13;14;1;8;5;2;1;40;0
35;1;10;13;5;13;2;4;0;28;0
39;4;16;10;1;1;5;1;1;40;0
48;?;10;13;3;;1;2;0;80;1
33;6;8;12;5;8;2;1;0;32;0
19;4;16;10;5;8;4;2;1;26;0
17;4;1;6;5;12;5;2;1;12;0
43;6;16;10;3;5;1;2;0;50;0
62;4;12;9;7;1;2;2;1;42;0
53;2;13;14;1;10;2;1;1;40;1
45;7;13;14;3;10;1;2;0;60;1
47;4;12;9;1;1;2;1;1;40;0
30;4;16;10;5;8;4;1;1;40;0
53;4;12;9;6;12;2;2;1;33;0
24;4;12;9;6;7;4;1;1;40;0
41;2;16;10;3;6;1;2;0;40;0
58;2;5;3;1;8;3;1;1;40;0
27;1;12;9;1;1;2;2;0;50;0
63;7;12;9;1;1;2;2;1;38;0
50;4;16;10;1;8;4;2;0;28;0
43;2;13;14;5;13;2;1;1;47;1
29;5;16;10;5;4;2;2;0;60;0
41;4;16;10;3;12;1;2;0;40;0
55;4;12;9;3;8;1;2;0;40;0
36;4;12;9;5;14;2;2;0;45;0
23;2;12;9;5;1;4;2;0;40;0
22;4;10;13;5;3;2;2;0;55;1
58;6;16;10;1;3;2;2;0;45;0
25;4;2;7;5;1;4;1;1;40;0
40;4;12;9;3;12;6;2;1;30;0
38;4;9;11;5;10;2;2;1;39;0
37;4;10;13;3;10;1;2;0;40;1
19;4;16;10;5;8;4;2;1;35;0
55;4;1;6;5;8;2;2;0;29;0
55;4;10;13;3;12;1;2;0;50;1
28;4;10;13;5;1;2;2;0;45;0
53;4;12;9;3;3;1;2;0;40;0
32;?;12;9;3;;1;2;0;40;0
60;4;16;10;1;10;5;2;0;42;0
32;4;16;10;1;1;5;2;1;38;0
34;4;12;9;3;12;1;2;0;50;0
49;4;16;10;1;10;2;2;0;45;1
21;4;16;10;5;8;3;2;1;30;0
24;7;10;13;5;1;2;1;1;20;0
53;4;9;11;1;1;2;1;1;40;0
29;4;9;11;3;8;1;2;0;40;0
34;2;10;13;4;10;2;2;1;40;0
52;?;15;15;4;;5;4;1;40;0
41;4;5;3;3;5;6;2;1;40;0
21;4;12;9;5;8;2;2;1;40;0
43;4;13;14;3;4;1;2;0;35;1
31;2;12;9;5;11;4;2;0;40;0
38;4;12;9;3;6;1;2;0;40;0
42;4;10;13;3;4;1;2;0;60;1
62;4;10;13;5;5;2;2;0;30;0
51;4;6;4;7;7;2;3;1;40;0
30;4;12;9;5;12;5;1;1;25;0
24;4;10;13;3;7;1;2;0;40;0
36;4;12;9;1;3;2;2;0;40;0
57;4;1;6;3;3;1;2;0;40;0
46;4;10;13;3;4;1;2;0;55;1
33;4;11;16;3;10;1;2;0;40;0
42;4;16;10;5;12;2;2;0;45;0
62;4;12;9;3;3;1;2;0;40;0
64;6;16;10;3;12;1;2;0;20;0
18;4;16;10;5;12;4;2;1;25;0
43;4;5;3;4;5;5;2;0;35;0
62;6;6;4;7;8;2;2;1;66;0
29;4;8;12;3;10;1;2;0;50;0
43;4;10;13;3;6;1;1;0;40;1
39;4;12;9;3;4;1;2;0;40;1
69;?;10;13;3;;1;2;0;40;0
34;4;10;13;3;4;6;2;1;40;0
44;4;8;12;3;4;1;2;0;45;1
25;4;10;13;5;1;2;2;0;30;0
47;2;16;10;1;14;5;2;0;40;0
17;4;1;6;5;8;4;2;0;8;0
41;2;10;13;1;10;5;2;0;65;0
19;4;16;10;5;12;4;2;0;20;0
57;4;4;2;3;8;1; Other;0;40;0
25;4;12;9;5;1;5;1;0;35;0
37;2;16;10;3;1;1;2;0;40;1
29;4;9;11;3;7;1;2;0;40;0
32;4;16;10;5;12;4;2;0;35;0
35;4;15;15;3;10;1;2;0;45;1
52;4;3;8;5;7;2;2;0;40;0
41;4;12;9;5;7;4;2;1;40;0
29;4;12;9;4;7;2;2;1;38;0
23;4;13;14;5;10;4;2;1;36;0
31;4;2;7;3;3;1;2;0;40;0
40;4;12;9;3;14;1;2;0;50;0
19;4;12;9;5;1;4;2;1;20;0
21;4;16;10;5;14;4;2;0;10;0
37;7;10;13;5;1;2;2;1;40;1
49;6;15;15;3;10;1;2;0;35;1
64;2;12;9;3;1;6;2;1;35;0
37;2;9;11;5;1;2;2;1;43;0
70;6;10;13;3;3;1;2;0;12;1
22;4;1;6;5;14;4;4;0;30;0
29;5;12;9;3;12;1;4;0;40;0
37;4;12;9;3;3;1;2;0;40;0
29;4;10;13;5;13;2;2;0;40;0
38;4;2;7;1;7;2;2;0;65;0
27;4;12;9;5;3;2;2;0;50;0
58;7;10;13;3;1;1;2;0;35;1
60;2;16;10;3;1;6;2;1;35;0
20;4;16;10;5;12;2;2;0;25;0
51;4;16;10;3;12;1;2;0;40;1
37;4;7;5;3;14;1;2;0;65;0
22;7;3;8;5;4;2;2;0;50;1
56;6;1;6;3;14;1;2;0;60;0
26;4;10;13;3;12;6;2;1;42;1
19;4;16;10;6;12;5;2;1;25;0
37;4;9;11;3;10;6;2;1;30;0
27;4;16;10;5;13;2;2;1;40;0
27;4;12;9;5;12;4;3;0;20;0
52;6;16;10;3;12;1;2;0;50;0
45;4;12;9;6;7;5;1;1;40;0
28;4;16;10;5;3;4;3;0;40;0
20;4;12;9;1;1;2;2;1;40;0
28;4;13;14;5;10;2;2;1;50;0
44;4;9;11;3;6;1;1;0;40;0
30;4;10;13;3;3;1;2;0;40;0
26;7;8;12;5;1;4;1;1;8;0
55;?;13;14;3;;1;2;0;18;0
46;4;12;9;5;12;2;2;1;40;0
51;4;10;13;3;3;1;2;0;50;0
25;2;10;13;5;10;2;2;1;40;0
43;2;12;9;6;8;2;2;0;40;0
19;?;12;9;5;;4;2;1;28;0
36;4;12;9;1;3;2;2;0;40;0
36;4;16;10;5;4;2;2;0;40;0
48;4;10;13;5;8;5;4;1;40;0
30;?;2;7;5;;5;2;0;40;0
24;4;10;13;3;10;1;2;0;44;1
30;4;12;9;1;8;5;2;1;36;0
24;4;10;13;3;4;6;2;1;45;1
62;4;10;13;3;7;1;2;0;40;0
41;6;12;9;1;14;2;2;0;40;0
49;6;15;15;3;10;1;2;0;85;1
36;6;12;9;3;14;1;2;0;50;0
47;2;13;14;1;10;5;2;1;45;0
49;7;13;14;1;10;2;2;1;40;0
52;4;16;10;5;4;2;2;0;40;0
52;4;8;12;3;13;1;2;0;40;1
26;4;12;9;5;1;2;2;0;53;0
51;7;12;9;5;14;2;2;0;40;0
18;4;1;6;5;8;4;2;0;20;0
30;4;12;9;5;6;3;2;0;40;0
46;4;12;9;1;7;2;2;0;20;0
28;4;12;9;5;6;4;1;1;40;0
48;5;10;13;3;4;1;2;0;50;1
62;4;16;10;3;1;6;2;1;38;1
49;4;10;13;3;12;1;2;0;44;0
69;4;12;9;7;1;2;2;1;24;0
